District,Crime_Year,Total_Crime
11,2001,27662
14,2001,22550
10,2001,19654
25,2001,27938
6,2001,25491
12,2001,24896
5,2001,20005
2,2001,35413
4,2001,25119
7,2001,26603
17,2001,14488
3,2001,24318
15,2001,20125
19,2001,22758
22,2001,14954
9,2001,24093
24,2001,15115
8,2001,31359
16,2001,16021
20,2001,9988
18,2001,22528
1,2001,14863
7,2002,28125
11,2002,30063
10,2002,19460
18,2002,22316
5,2002,21095
14,2002,22390
3,2002,23557
9,2002,25315
1,2002,17974
6,2002,25315
24,2002,15020
19,2002,22904
2,2002,27048
17,2002,14429
8,2002,32098
25,2002,27840
20,2002,9153
15,2002,20445
16,2002,16066
4,2002,25833
12,2002,24682
22,2002,15675
8,2003,31708
6,2003,25461
5,2003,19950
3,2003,23581
11,2003,30020
4,2003,26145
22,2003,14960
25,2003,28373
17,2003,13975
9,2003,25292
15,2003,21332
12,2003,25000
14,2003,20595
7,2003,27866
10,2003,19085
20,2003,8262
2,2003,25099
18,2003,20381
19,2003,21486
24,2003,13934
1,2003,17570
16,2003,15879
25,2004,26993
6,2004,26109
8,2004,31404
4,2004,26143
11,2004,29324
15,2004,20262
7,2004,28736
10,2004,20367
3,2004,24278
2,2004,23760
14,2004,19027
24,2004,14399
9,2004,23703
17,2004,13060
20,2004,8370
5,2004,20500
12,2004,24229
18,2004,20173
1,2004,17579
19,2004,21041
22,2004,15440
16,2004,14523
6,2005,25616
4,2005,24991
3,2005,24223
18,2005,18760
19,2005,19532
7,2005,27467
25,2005,26474
5,2005,20372
20,2005,8730
24,2005,14324
14,2005,16958
2,2005,21962
9,2005,22870
10,2005,19273
22,2005,15111
15,2005,19138
12,2005,22293
1,2005,17700
8,2005,31355
11,2005,29247
17,2005,13142
16,2005,14237
7,2006,27485
11,2006,28307
2,2006,20186
5,2006,19950
3,2006,23567
8,2006,32276
6,2006,25147
15,2006,20420
10,2006,18314
4,2006,25987
17,2006,13063
9,2006,23509
12,2006,22041
25,2006,24858
1,2006,16952
24,2006,14188
14,2006,17277
18,2006,18420
22,2006,14864
16,2006,14297
19,2006,18885
20,2006,8180
7,2007,27459
11,2007,26557
3,2007,23116
10,2007,18339
1,2007,15651
2,2007,19368
6,2007,26998
25,2007,24732
14,2007,16360
15,2007,20352
4,2007,25464
9,2007,21719
18,2007,18151
5,2007,20821
24,2007,12995
17,2007,11935
19,2007,18590
8,2007,31109
16,2007,14155
12,2007,20920
20,2007,7303
