Crime_Hour,Day_Of_Week,Total_Crime
10,Monday,53542
15,Monday,65901
22,Thursday,62035
10,Saturday,48452
16,Friday,66189
8,Saturday,31400
13,Saturday,53769
23,Saturday,63467
0,Sunday,79455
13,Tuesday,60547
21,Tuesday,65705
1,Wednesday,31341
20,Wednesday,69453
4,Thursday,16184
14,Thursday,64095
21,Thursday,64426
19,Thursday,68457
14,Friday,65242
12,Saturday,65330
4,Sunday,33218
14,Sunday,51064
9,Monday,56667
0,Tuesday,66483
1,Tuesday,31133
9,Tuesday,56846
1,Friday,35167
1,Saturday,52333
1,Sunday,55101
3,Sunday,44522
23,Monday,48482
21,Monday,63683
2,Tuesday,24618
14,Wednesday,65153
0,Thursday,66422
23,Friday,63369
0,Saturday,78753
13,Monday,58405
3,Friday,23091
5,Sunday,23630
8,Sunday,27204
2,Monday,27372
3,Wednesday,19552
1,Thursday,32357
6,Thursday,20410
11,Tuesday,56268
12,Friday,74598
20,Friday,70641
3,Saturday,38577
11,Saturday,51282
16,Thursday,63357
19,Sunday,62627
17,Wednesday,65091
7,Thursday,31128
20,Monday,66294
16,Wednesday,64282
6,Saturday,18740
14,Saturday,56277
21,Saturday,65775
10,Sunday,42865
16,Monday,62449
2,Saturday,47316
1,Monday,34008
18,Tuesday,68262
13,Wednesday,61658
11,Friday,57310
16,Saturday,57718
6,Sunday,18893
6,Wednesday,20602
9,Friday,56833
22,Wednesday,62361
15,Tuesday,67741
2,Friday,29032
8,Friday,45262
20,Saturday,66098
3,Tuesday,19322
9,Wednesday,57371
2,Wednesday,24865
21,Wednesday,65612
5,Friday,16044
10,Friday,55142
22,Friday,71240
16,Sunday,54618
0,Monday,71148
11,Wednesday,56265
19,Wednesday,70598
12,Tuesday,73154
0,Friday,69612
7,Friday,30598
21,Friday,69781
4,Saturday,28755
18,Sunday,59837
3,Monday,21591
22,Sunday,61847
8,Monday,45945
22,Tuesday,62374
18,Friday,71100
6,Tuesday,20181
19,Tuesday,70427
15,Thursday,68041
15,Sunday,54335
23,Sunday,51326
6,Monday,20041
12,Wednesday,74169
15,Wednesday,68739
12,Thursday,72634
5,Thursday,14979
12,Monday,71737
23,Thursday,50777
15,Friday,71004
23,Tuesday,49330
10,Thursday,53855
6,Friday,20377
7,Monday,30658
11,Monday,54591
0,Wednesday,66923
15,Saturday,58913
18,Monday,67476
8,Tuesday,46275
20,Thursday,67685
20,Sunday,63840
21,Sunday,62523
4,Tuesday,15485
9,Saturday,44518
3,Thursday,20951
9,Sunday,38925
14,Monday,61797
22,Saturday,68589
20,Tuesday,69439
8,Thursday,46299
13,Sunday,48526
17,Monday,63628
22,Monday,60732
5,Wednesday,14817
4,Friday,17713
13,Friday,60617
4,Wednesday,15226
13,Thursday,59754
2,Sunday,50514
8,Wednesday,46779
18,Thursday,66789
5,Saturday,20441
17,Saturday,58734
7,Wednesday,31443
2,Thursday,26311
23,Wednesday,49518
18,Wednesday,69243
7,Saturday,21681
19,Monday,68315
14,Tuesday,64472
17,Thursday,63460
17,Friday,67575
7,Tuesday,31778
10,Wednesday,54339
11,Sunday,45941
9,Thursday,56584
10,Tuesday,53872
19,Saturday,64634
5,Monday,15760
4,Monday,17034
17,Tuesday,64795
19,Friday,71752
18,Saturday,62155
11,Thursday,56323
12,Sunday,58135
5,Tuesday,14807
7,Sunday,19571
17,Sunday,56438
16,Tuesday,64160
