Crime_Month,Crime_Year,Total_Crime
1,2001,38127
2,2001,33789
3,2001,40575
4,2001,40098
5,2001,41846
6,2001,41740
7,2001,44703
8,2001,44047
9,2001,41520
10,2001,43034
11,2001,39610
12,2001,36852
1,2002,38422
2,2002,33906
3,2002,38588
4,2002,40039
5,2002,42915
6,2002,42838
7,2002,46012
8,2002,44217
9,2002,42390
10,2002,43150
11,2002,37155
12,2002,37180
1,2003,36724
2,2003,32511
3,2003,38649
4,2003,39786
5,2003,41197
6,2003,40820
7,2003,43417
8,2003,44266
9,2003,41427
10,2003,43328
11,2003,38052
12,2003,35789
1,2004,35116
2,2004,34069
3,2004,39860
4,2004,38272
5,2004,40783
6,2004,41136
7,2004,43241
8,2004,43046
9,2004,41216
10,2004,41529
11,2004,36841
12,2004,34322
1,2005,33877
2,2005,31989
3,2005,36906
4,2005,38872
5,2005,40477
6,2005,40059
7,2005,41811
8,2005,41543
9,2005,39631
10,2005,39961
11,2005,35984
12,2005,32671
1,2006,36772
2,2006,31301
3,2006,36983
4,2006,36481
5,2006,39616
6,2006,38822
7,2006,41553
8,2006,40499
9,2006,37775
10,2006,38663
11,2006,35571
12,2006,34145
1,2007,34129
2,2007,27137
3,2007,36351
4,2007,35640
5,2007,40093
6,2007,38995
7,2007,40996
8,2007,39850
9,2007,38265
10,2007,39599
11,2007,34426
12,2007,31610
1,2008,33415
2,2008,29051
3,2008,33986
4,2008,35593
5,2008,38067
6,2008,37707
7,2008,40498
10,2008,37891
8,2008,40543
9,2008,37458
11,2008,33564
12,2008,29422
1,2009,30271
2,2009,28240
3,2009,33693
4,2009,32576
5,2009,35245
6,2009,34287
7,2009,35682
8,2009,35833
9,2009,33873
10,2009,33547
11,2009,31406
12,2009,28194
1,2010,29277
2,2010,24959
3,2010,32347
4,2010,31671
5,2010,33409
6,2010,32733
7,2010,33514
8,2010,34164
9,2010,31907
10,2010,32404
11,2010,28899
12,2010,25256
1,2011,27239
2,2011,22244
3,2011,28705
4,2011,29119
5,2011,31604
6,2011,32332
7,2011,33263
8,2011,32609
9,2011,29946
10,2011,30294
11,2011,27657
12,2011,27032
1,2012,26340
2,2012,23893
3,2012,28581
4,2012,27197
5,2012,30112
6,2012,31099
7,2012,31985
8,2012,30064
9,2012,27787
10,2012,27996
11,2012,26052
12,2012,25245
1,2013,25571
2,2013,21429
3,2013,25000
4,2013,25547
5,2013,28025
6,2013,27403
7,2013,28647
8,2013,28677
9,2013,26362
10,2013,25490
11,2013,23576
12,2013,21880
1,2014,20105
2,2014,18055
3,2014,22205
4,2014,22944
5,2014,24895
6,2014,25467
7,2014,26586
8,2014,25909
9,2014,23911
10,2014,24014
11,2014,20785
12,2014,20997
1,2015,21018
2,2015,16410
3,2015,21689
4,2015,21744
5,2015,23727
6,2015,23197
7,2015,24242
8,2015,24828
9,2015,23137
10,2015,23116
11,2015,20606
12,2015,21156
1,2016,20802
2,2016,18756
3,2016,22074
4,2016,21189
5,2016,23560
6,2016,24096
7,2016,24869
8,2016,24936
9,2016,23709
10,2016,23778
11,2016,21763
12,2016,20404
1,2017,22224
2,2017,19322
3,2017,20592
4,2017,21719
5,2017,23405
6,2017,23881
7,2017,24886
8,2017,24756
9,2017,22864
10,2017,22949
11,2017,21521
12,2017,21126
1,2018,20621
2,2018,17388
3,2018,21278
4,2018,21178
5,2018,24776
6,2018,24287
7,2018,25305
8,2018,25510
9,2018,23149
10,2018,22874
11,2018,20722
12,2018,22044
1,2019,19844
2,2019,18463
3,2019,20482
4,2019,21056
5,2019,23703
6,2019,23659
7,2019,24901
8,2019,24468
9,2019,22511
10,2019,21749
11,2019,20005
12,2019,20849
1,2020,20079
2,2020,18224
3,2020,16792
4,2020,12956
5,2020,17631
6,2020,17707
7,2020,19680
8,2020,19951
9,2020,17984
10,2020,18476
11,2020,16669
12,2020,16547
1,2021,16302
2,2021,13154
3,2021,16207
4,2021,15704
5,2021,17878
6,2021,18891
7,2021,19301
8,2021,18633
9,2021,19294
10,2021,19418
11,2021,17484
12,2021,17384
1,2022,15766
2,2022,15288
3,2022,18439
4,2022,18072
5,2022,20218
6,2022,20867
7,2022,22355
8,2022,22397
9,2022,22427
10,2022,23288
11,2022,20880
12,2022,19994
1,2023,21336
2,2023,18485
3,2023,20809
4,2023,20805
5,2023,22283
6,2023,22766
7,2023,24060
8,2023,24238
9,2023,22653
10,2023,23100
11,2023,21428
12,2023,21328
1,2024,19647
2,2024,19944
3,2024,20913
4,2024,20484
5,2024,22984
6,2024,23195
7,2024,24091
8,2024,22997
9,2024,22975
10,2024,22488
11,2024,19726
12,2024,19600
1,2025,18493
2,2025,16524
3,2025,19758
4,2025,19633
5,2025,20476
6,2025,21098
7,2025,22641
8,2025,21309
9,2025,20314
10,2025,20931
11,2025,18364
12,2025,17420
1,2026,16764
2,2026,16289
3,2026,18574
4,2026,3601
