Crime_Year,PrimaryType,Total_Crime,Total_Arrest
2001,Arson,1011,181
2001,Assault,31389,7152
2001,Battery,93472,20467
2001,Burglary,26015,1695
2001,"Concealed Carry Violation",1,1
2001,"Criminal Damage",55867,4548
2001,"Criminal Sexual Assault",1817,423
2001,"Criminal Trespass",13242,10262
2001,"Deceptive Practice",14959,4789
2001,"Domestic Violence",1,1
2001,Gambling,934,931
2001,Homicide,645,419
2001,"Interference With Officer",406,328
2001,Intimidation,280,75
2001,Kidnapping,933,138
2001,"Liquor Law Violation",1637,1636
2001,"Motor Vehicle Theft",27556,3417
2001,Narcotics,50568,50560
2001,Obscenity,19,19
2001,"Offense Involving Children",2268,815
2001,"Other Narcotic Violation",6,6
2001,"Other Offense",29669,5299
2001,Prostitution,6026,6023
2001,"Public Indecency",9,9
2001,"Public Peace Violation",2750,923
2001,Ritualism,8,1
2001,Robbery,18441,1841
2001,"Sex Offense",2238,841
2001,Stalking,204,51
2001,Theft,99292,15546
2001,"Weapons Violation",4278,3540
2002,Arson,1032,156
2002,Assault,31524,7342
2002,Battery,94152,21330
2002,Burglary,25623,1667
2002,"Criminal Damage",55942,4403
2002,"Criminal Sexual Assault",1840,407
2002,"Criminal Trespass",13881,10632
2002,"Deceptive Practice",13740,3806
2002,Gambling,971,969
2002,Homicide,638,417
2002,"Interference With Officer",361,269
2002,Intimidation,337,59
2002,Kidnapping,829,83
2002,"Liquor Law Violation",1414,1413
2002,"Motor Vehicle Theft",25121,3163
2002,Narcotics,51789,51781
2002,Obscenity,26,24
2002,"Offense Involving Children",2597,781
2002,"Other Narcotic Violation",5,5
2002,"Other Offense",32602,5701
2002,Prostitution,6408,6408
2002,"Public Indecency",8,8
2002,"Public Peace Violation",2457,929
2002,Ritualism,2,1
2002,Robbery,18523,1761
2002,"Sex Offense",2173,775
2002,Stalking,200,44
2002,Theft,98335,13697
2002,"Weapons Violation",4282,3539
2003,Arson,955,140
2003,Assault,29477,6910
2003,Battery,88380,20460
2003,Burglary,25157,1615
2003,"Criminal Damage",55011,4060
