LocationDescription,Total_Crime,Total_Arrest
ABANDONED BUILDING,12251,5951
AIRCRAFT,17314,5050
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,1597,256
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,943,145
AIRPORT EXTERIOR - NON-SECURE AREA,1351,235
AIRPORT EXTERIOR - SECURE AREA,644,121
AIRPORT PARKING LOT,1954,155
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,2772,1348
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,1202,152
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,158,28
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,1382,525
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,5851,1467
AIRPORT TRANSPORTATION SYSTEM (ATS),186,28
AIRPORT VENDING ESTABLISHMENT,1020,146
ALLEY,189543,79453
ANIMAL HOSPITAL,918,101
APARTMENT,1023276,154495
APPLIANCE STORE,2698,753
ATHLETIC CLUB,10463,508
ATM (AUTOMATIC TELLER MACHINE),8772,153
AUTO,1329,526
AUTO / BOAT / RV DEALERSHIP,1736,128
BANK,33492,4742
BANQUET HALL,2,2
BAR OR TAVERN,48126,9548
BARBER SHOP/BEAUTY SALON,26,13
BARBERSHOP,8850,1100
BASEMENT,35,23
BEACH,1,1
BOAT / WATERCRAFT,878,141
BOWLING ALLEY,829,159
BRIDGE,534,205
CAR WASH,3665,627
CASINO/GAMBLING ESTABLISHMENT,127,39
CEMETARY,441,72
CHA APARTMENT,40800,12365
CHA BREEZEWAY,3,2
CHA ELEVATOR,3,0
CHA GROUNDS,50,36
CHA HALLWAY,38,32
CHA HALLWAY / STAIRWELL / ELEVATOR,26030,17995
CHA LOBBY,9,7
CHA PARKING LOT,60,33
CHA PARKING LOT / GROUNDS,58736,39722
CHA PLAY LOT,4,4
CHA STAIRWELL,10,5
CHURCH,3,1
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,18099,2108
CHURCH PROPERTY,2,1
CLEANERS/LAUNDROMAT,1,0
CLEANING STORE,5383,812
CLUB,14,11
COACH HOUSE,3,3
